Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
313	11.1392	0.529992	0.273592	1	23.4497	0	0.172962	201.432
314	84.4518	0.455545	0.57124	0	9.68752	2	0.170717	4599.96
315	73.3548	0.746593	0.308813	0	11.6036	1	0.159056	22734.9
316	26.6715	0.500047	0.309081	1	18.23	2	0.228646	2622.52
317	2.13076	0.561678	0.318889	1	18.9115	1	0.0636268	59.8419
318	12.8715	0.392567	0.468028	0	11.5205	0	0.113806	0
319	179.963	0.915383	0.484125	1	14.125	1	0.087841	0
320	96.6793	0.783918	0.474896	0	18.4037	2	0.11666	0
321	58.2425	0.838379	0.580105	0	7.09232	0	0.133482	1634.26
322	202.19	0.375195	0.231708	1	7.79851	2	0.2389	4485.39
323	70.4752	0.728621	0.412571	1	6.69205	0	0.0563907	3666.48
324	120.114	0.331247	0.371866	0	10.1818	1	0.218355	109598
325	130.51	0.62474	0.320499	0	14.4952	1	0.132561	0
326	58.0499	0.911954	0.431479	1	6.75155	0	0.134945	89790.8
327	95.9989	0.659229	0.580322	1	18.8393	2	0.109481	0
328	156.244	0.401788	0.245834	0	19.4115	1	0.216673	9441.95
329	103.552	0.369076	0.449786	1	14.1042	0	0.151315	0
330	133.979	0.351257	0.345203	0	15.0075	2	0.15132	0
331	122.75	0.579861	0.557973	1	5.63747	2	0.103558	8524.34
332	35.2904	0.679478	0.246447	0	8.83273	1	0.135954	70881
333	140.332	0.866104	0.234727	1	15.7703	0	0.249977	166.708
334	171.003	0.373712	0.57514	0	9.25906	2	0.125908	4657.94
335	164.616	0.398049	0.27226	1	23.713	1	0.222552	395.831
336	137.828	0.470971	0.306334	0	23.957	0	0.244748	0
337	138.577	0.452539	0.361665	1	8.58604	1	0.187223	145376
338	184.828	0.718623	0.333338	0	7.96825	2	0.195382	6392.03
339	133.578	0.14835	0.330432	1	13.2551	0	0.0863339	0
340	234.825	0.0980374	0.215284	0	21.6805	1	0.105446	137.153
341	97.3695	0.158097	0.504125	0	14.621	2	0.120632	0
342	111.771	0.754715	0.477635	1	5.83122	0	0.236837	83793.7
