Simulation,Annual.financial.bail-out,Attention.rate.for.planning.new.infrastructure,Default.infrastructure.aging.time,Maximum.capacity.exceeding,Percentage.of.income.used.for.maintenance,Staff.Hired,Staff.required.for.tankers,Staff.service.time,switch.policy.staff.attention,Target.percentage.infrastructure.maintenance,householdshortage
175,207.168,0.280844,33.2934,0.0666332,0.325556,14.1132,1,13.4259,0,0.153708,4100.21
176,57.7603,0.37751,36.6237,0.309854,0.352539,18.5539,0,20.9814,2,0.069626,4124.11
177,141.497,0.918045,25.7786,0.207033,0.329213,6.73071,0,11.2856,1,0.107618,5037.68
178,103.704,0.804211,35.8946,0.473717,0.249385,28.0707,1,7.43352,0,0.148766,4898.33
179,141.029,0.462747,21.7972,0.386762,0.238704,11.5818,0,18.5938,1,0.0567946,8901.55
180,13.2371,0.244492,32.3496,0.380199,0.268549,4.63745,1,16.6614,2,0.228666,11031.8
181,94.0801,0.552351,37.0679,0.32365,0.29505,36.3519,0,8.43742,0,0.0743337,4432.79
182,237.616,0.0623589,28.3727,0.188468,0.38252,30.3361,1,13.7501,2,0.129575,3872.4
183,34.0669,0.911947,31.1404,0.163173,0.352828,23.7316,0,17.9819,1,0.0850349,4638.87
184,137.339,0.777785,36.7303,0.31631,0.270101,48.886,1,11.7986,2,0.168118,4547.53
185,58.7699,0.677933,37.129,0.310143,0.21947,17.0588,0,16.8839,0,0.079035,5193.09
186,121.37,0.146228,26.8814,0.0364194,0.411964,19.9416,1,24.1168,1,0.148902,4182.2
187,100.108,0.490912,23.9804,0.422798,0.305556,22.6411,0,6.87946,1,0.0981968,5987.83
188,100.266,0.428698,37.0194,0.419554,0.214374,46.0733,1,7.55353,0,0.193203,5141.32
189,57.3323,0.656094,25.267,0.312614,0.502964,31.7533,0,17.3132,2,0.177292,4025.62
190,104.983,0.354712,35.2604,0.163666,0.51587,46.3529,1,5.48646,0,0.143716,3454.19
191,1.39645,0.162016,29.3777,0.200518,0.201538,42.592,1,8.80603,1,0.196567,6871.93
192,50.648,0.983168,27.9004,0.34414,0.265951,6.98995,0,17.2669,2,0.21576,194724
193,241.005,0.264998,33.1167,0.113658,0.425279,46.3122,0,9.20934,1,0.0549181,3598.63
194,82.8939,0.118564,32.1723,0.28874,0.386702,24.2874,1,22.2851,2,0.113505,4073.77
195,240.332,0.133565,26.0397,0.325825,0.240047,29.7493,0,14.7781,0,0.130804,5861.27
196,60.8293,0.868091,35.481,0.271634,0.314794,9.55496,1,24.9269,1,0.0781808,4488.6
197,80.1811,0.805477,38.9868,0.399505,0.221254,8.96285,1,21.0565,2,0.158565,4957.52
198,18.4616,0.323594,25.8664,0.390706,0.597423,47.8088,0,9.0428,0,0.239595,4214.71
199,225.155,0.171443,27.6533,0.0477409,0.334406,37.3699,0,10.3907,2,0.212038,4405.57
200,72.1169,0.286568,39.7713,0.0734635,0.511329,18.0538,1,9.87778,1,0.128313,3214.86
201,202.293,0.295632,24.0265,0.137788,0.551152,17.4865,0,18.339,0,0.12581,4345.84
202,240.285,0.499069,32.7876,0.35051,0.355227,27.3873,1,15.6639,0,0.0578693,3765.88
203,20.484,0.881901,29.669,0.0765743,0.421736,22.1765,0,17.0607,1,0.0660202,4260.33
204,101.625,0.554153,23.2884,0.321355,0.545293,12.392,1,17.7606,2,0.0894018,4552.13
205,115.152,0.692589,26.0981,0.0575506,0.208119,8.85636,1,19.0316,1,0.143732,6487.14
206,195.423,0.634977,33.5024,0.245836,0.449901,28.2208,0,22.3124,2,0.203043,3575.46
207,217.843,0.747097,22.7186,0.269635,0.357108,42.7925,1,17.027,0,0.0788586,4728.47
208,27.2181,0.810629,30.6618,0.412152,0.223015,25.4096,0,18.3189,2,0.193016,6191.71
209,3.25744,0.602452,21.4625,0.134399,0.279244,39.6578,0,13.3195,0,0.179509,7935.95
210,28.8091,0.617412,29.081,0.228357,0.458664,2.75022,1,24.3445,1,0.158223,50116.1
211,4.99442,0.00249045,39.396,0.44544,0.209896,19.8498,0,24.849,1,0.161702,5212.23
212,209.575,0.94521,38.8174,0.45609,0.208361,46.367,1,20.1935,0,0.140392,4790.17
213,8.64319,0.255765,28.1,0.0642213,0.443655,1.69752,0,10.1974,2,0.183738,109448
214,90.7191,0.269846,31.4909,0.316507,0.495935,4.98226,1,10.2315,2,0.111092,11628.8
215,218.52,0.0986879,30.5986,0.328051,0.597284,49.3401,0,13.6059,1,0.135103,3652.32
216,85.9143,0.585883,35.173,0.472256,0.343103,22.4364,1,13.1373,0,0.153133,4200.63
217,188.426,0.837935,22.2912,0.262356,0.559219,5.85334,1,10.9887,0,0.190869,4643.25
218,84.1757,0.604586,21.9345,0.363339,0.261779,40.1314,0,6.98342,1,0.159372,8652.29
219,79.3652,0.280142,38.3745,0.305466,0.345814,2.16785,1,17.4564,2,0.181481,8834.54
220,192.328,0.217806,39.1815,0.111316,0.551241,30.7188,0,7.92792,1,0.139673,3183.23
221,105.353,0.9179,21.9935,0.236413,0.252854,20.1979,1,17.5256,0,0.0584282,8122.05
222,194.004,0.412178,26.7403,0.481602,0.488548,48.9101,0,18.7304,2,0.0858169,4102.84
223,117.103,0.808132,24.1507,0.190976,0.294992,10.3529,0,16.0315,1,0.228527,5986.68
224,50.332,0.416379,36.0102,0.348143,0.22955,27.8732,1,5.62837,2,0.103743,5233.11
225,40.1267,0.712393,37.9714,0.0953301,0.405909,19.4856,1,11.1699,0,0.24876,3730.38
226,216.419,0.845161,22.2933,0.0707889,0.347548,42.7834,0,7.62556,1,0.113901,4881.28
227,220.611,0.814236,21.4686,0.400294,0.387238,14.797,1,19.8592,0,0.18299,4692.63
228,220.278,0.976173,30.0729,0.158391,0.353431,1.62092,0,21.3467,2,0.0567705,174726
229,173.322,0.825875,38.0733,0.231119,0.485596,32.5286,0,8.89562,0,0.210032,3291.38
230,67.5621,0.173158,37.2867,0.0368049,0.59685,14.6444,1,17.2026,1,0.197903,3249.12
231,164.445,0.557653,38.9165,0.261232,0.236529,0.966591,0,14.9415,2,0.0710609,106645
232,0.694009,0.930327,37.315,0.309689,0.411568,20.509,1,24.5446,1,0.127271,3862.39
233,78.7331,0.0506575,25.7993,0.342492,0.404922,35.0506,0,19.8625,2,0.227841,4500.5
234,153.248,0.82659,23.9949,0.376305,0.254322,4.23494,1,8.154,0,0.183186,2486.24
235,98.6921,0.292866,38.4526,0.317941,0.569945,25.2857,0,15.8699,2,0.0700065,3243.59
236,161.217,0.48024,23.825,0.101074,0.418086,36.0748,1,16.1725,0,0.0545305,4216.98
237,27.3087,0.285747,25.3145,0.0121475,0.515504,34.1928,0,9.82981,1,0.144159,4028.45
238,17.644,0.563831,32.3848,0.454787,0.566151,21.124,1,17.4363,1,0.188964,3646.17
239,16.8314,0.562597,26.8865,0.199318,0.546403,9.91159,1,22.6991,2,0.217138,4000.14
240,178.86,0.867042,21.9623,0.203831,0.383439,7.86972,0,13.3668,0,0.0645751,4716.97
241,3.87844,0.144389,26.5389,0.448055,0.245892,38.7679,1,16.4823,1,0.236991,7348.54
242,102.073,0.166001,38.083,0.0133648,0.496099,4.75581,0,18.2908,0,0.184846,3244.35
243,78.168,0.491041,39.6013,0.356265,0.441771,2.4865,0,12.7264,2,0.089233,8925.78
244,101.934,0.82555,39.3131,0.330126,0.50604,6.18035,1,13.9021,1,0.244442,3249.31
245,203.423,0.405439,23.4258,0.0608221,0.450346,46.6389,0,7.32865,0,0.177995,4309.48
246,100.2,0.570363,20.649,0.42771,0.471269,49.5591,1,13.5501,2,0.0585433,4748.34
247,69.5146,0.419777,38.3828,0.081161,0.573539,40.1872,0,22.0076,2,0.205203,3246.35
248,207.351,0.207268,25.9478,0.311834,0.534333,25.3567,1,8.92023,1,0.135346,4142.89
249,170.556,0.574243,37.2671,0.369479,0.322875,21.1909,0,7.41609,0,0.168377,3977.01
250,246.942,0.669548,31.6697,0.243661,0.279752,11.3002,1,21.4832,1,0.196679,4547.9
251,182.753,0.0392147,21.328,0.325422,0.563614,49.954,0,9.34434,2,0.11508,4823.86
252,95.3513,0.470215,39.2908,0.044993,0.545858,0.249909,1,10.2148,0,0.189943,146382
253,95.4088,0.914354,25.7875,0.443278,0.539536,46.7685,1,18.5699,0,0.243201,4220.81
254,152.204,0.503887,39.011,0.421178,0.40529,29.6832,0,16.3735,1,0.134177,3326.98
255,84.3076,0.678389,36.0168,0.229275,0.53369,23.8907,1,16.3562,2,0.106941,3407.42
256,124.816,0.580654,39.298,0.477607,0.388408,38.4376,0,22.0484,2,0.0884256,3514.9
257,234.864,0.865362,36.2013,0.0817514,0.592218,30.9525,1,15.121,0,0.0819691,3274.48
258,88.2259,0.470925,28.4881,0.332577,0.380186,25.2848,0,13.4699,1,0.143591,4416.87
259,83.0644,0.15816,23.072,0.243572,0.223048,32.6869,0,8.37177,2,0.055876,8878.72
260,16.2384,0.265991,25.4159,0.45083,0.403511,33.5898,1,8.81931,1,0.234085,4910.34
261,12.0982,0.48951,27.1825,0.190357,0.521332,14.9741,0,5.04318,0,0.164314,3784.2
262,73.4009,0.15667,23.0169,0.147756,0.554051,48.7049,1,12.2227,1,0.117085,4576.89
263,188.067,0.830035,33.8986,0.26128,0.493096,28.0024,1,24.9029,2,0.0530498,3514.34
264,60.0504,0.771145,24.9792,0.383251,0.427332,24.3952,0,23.0378,0,0.241808,4466.48
265,168.626,0.272807,39.1861,0.464817,0.497575,13.9738,0,5.04024,0,0.0598353,3229.15
