Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Maximum capacity exceeding	Percentage of income used for maintenance	Staff Hired	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
179	73.4789	0.228012	27.0385	0.464915	0.595031	23	1	12.6844	1	0.147407	0
180	177.886	0.751463	37.1764	0.419264	0.333586	15	0	12.956	2	0.182628	0
181	20.9093	0.85181	21.1301	0.451669	0.426651	17	0	10.5048	0	0.205793	0
182	15.7309	0.612479	32.1285	0.270509	0.596848	0	1	15.9908	1	0.192054	182747
183	152.403	0.256852	39.5053	0.0257901	0.586243	2	0	15.7674	2	0.116675	8026.71
184	39.4444	0.246357	32.1648	0.183976	0.393242	12	1	13.3276	2	0.058181	0
185	108.398	0.603455	37.0962	0.14883	0.200438	10	1	11.371	0	0.1769	262.475
186	55.7846	0.639268	38.5926	0.0793115	0.348309	3	0	24.3403	1	0.248309	53421.7
187	246.029	0.896731	37.4878	0.296616	0.401544	0	1	24.9241	2	0.154546	159677
188	27.8834	0.973627	23.1365	0.46974	0.589033	24	0	18.4101	0	0.176262	0
189	46.9772	0.83997	26.618	0.481707	0.272196	14	0	18.6556	1	0.143683	0
190	174.612	0.340363	34.5421	0.154791	0.527341	22	1	5.39073	2	0.0846828	0
191	64.1273	0.149452	22.2624	0.422904	0.423196	6	1	24.3772	1	0.128157	0
192	209.3	0.494232	23.9404	0.101073	0.560995	4	0	16.2609	0	0.244008	610.054
193	42.5773	0.244426	38.1585	0.366313	0.335052	21	1	9.34041	0	0.220151	0
194	57.4944	0.0546306	33.924	0.00968707	0.21802	16	0	20.8173	2	0.239696	4332.34
195	90.5133	0.66257	34.0628	0.0563733	0.401628	8	0	8.79252	1	0.105737	1209.26
196	14.5931	0.301014	30.5141	0.0679998	0.383362	15	1	5.66061	2	0.194154	1485.63
197	159.535	0.194512	36.4864	0.45872	0.259958	13	0	13.6363	1	0.143678	0
198	249.131	0.33434	26.7069	0.0209981	0.332888	11	1	8.3494	0	0.189757	2879.29
199	8.8576	0.252964	24.4154	0.305289	0.459458	20	1	16.1646	2	0.0850208	0
200	194.727	0.856364	29.2102	0.345322	0.258365	5	0	6.27148	0	0.0667795	162312
201	200.238	0.0521302	32.5014	0.233876	0.253594	9	0	23.0368	1	0.0976353	0
202	249.776	0.740098	20.7536	0.317584	0.41793	23	1	20.2627	0	0.0696167	0
203	87.9869	0.752971	23.6004	0.11955	0.422453	19	1	7.06912	2	0.227896	303.355
204	106.659	0.618539	32.7749	0.184916	0.237241	7	0	7.26011	1	0.240861	81977.9
205	107.36	0.849247	32.9543	0.490017	0.378771	25	0	17.4486	1	0.113963	0
206	79.4535	0.756232	39.3213	0.309822	0.431729	18	1	24.744	2	0.165001	0
207	60.7147	0.102492	26.9777	0.217002	0.308079	17	0	24.1418	0	0.242763	0
208	154.929	0.123732	22.9491	0.051707	0.247487	1	1	9.45387	1	0.0948561	200568
209	219.666	0.0813085	34.6327	0.454385	0.437352	3	0	10.1439	0	0.236048	58371.3
210	114.646	0.48171	27.7696	0.310366	0.310652	5	1	16.4414	2	0.120307	8370.15
211	140.798	0.860214	31.8268	0.312092	0.38081	14	0	7.72836	1	0.224245	0
212	209.983	0.0405776	26.4546	0.307718	0.382615	0	1	24.5976	0	0.0860051	204374
213	106.856	0.857642	33.8146	0.486146	0.271967	9	1	17.772	2	0.182931	0
214	199.099	0.843973	37.9411	0.00747055	0.26158	1	0	11.9779	0	0.120058	128433
215	67.0092	0.454159	30.7625	0.102787	0.580585	4	1	12.2944	1	0.164647	42156.6
216	6.26127	0.43577	35.4778	0.327342	0.562298	13	0	9.59457	2	0.118392	0
217	109.86	0.849617	31.4636	0.395002	0.203442	20	0	20.8284	2	0.09379	0
218	69.8893	0.513292	31.118	0.322766	0.400782	6	1	14.51	1	0.149814	0
219	169.1	0.662433	28.8554	0.487327	0.398748	21	1	7.39526	0	0.180851	0
220	139.664	0.34708	26.0795	0.172358	0.390713	12	0	21.8998	0	0.131231	0
221	121.683	0.41341	20.622	0.459122	0.56233	16	0	19.0456	2	0.197863	0
222	206.703	0.0323338	25.5707	0.121245	0.48403	24	1	7.49167	1	0.221834	251.976
223	244.592	0.557193	36.7397	0.138902	0.542315	18	0	7.94504	2	0.0742106	0
224	115.887	0.602055	36.4715	0.459394	0.467769	11	1	19.7566	1	0.240481	0
225	226.596	0.235207	21.9406	0.136781	0.437477	2	1	13.1187	0	0.173706	191228
226	225.227	0.192946	27.3409	0.306756	0.398436	7	0	6.2726	2	0.207534	115808
227	121.115	0.0427321	33.3229	0.328699	0.379636	19	0	11.7667	1	0.0980935	0
228	4.25415	0.307577	24.7565	0.40414	0.545699	10	1	6.17317	0	0.0993971	0
229	128.456	0.206587	33.9974	0.0568409	0.593538	15	1	20.0185	0	0.220629	920.795
230	45.3635	0.749833	24.1203	0.342434	0.567237	25	0	10.9646	1	0.21121	0
231	144.129	0.138881	25.4845	0.316194	0.361209	22	0	8.53128	2	0.217648	0
232	110.24	0.747844	27.2673	0.407994	0.500864	23	1	17.8341	0	0.245747	0
233	78.7396	0.15007	37.3619	0.164415	0.498752	17	0	8.15175	1	0.240542	0
234	55.1482	0.680861	33.6989	0.254548	0.341307	8	1	19.1472	2	0.0573297	0
235	115.422	0.929103	29.1976	0.206775	0.408308	2	0	7.45391	1	0.129921	184416
236	48.0292	0.0750059	27.9464	0.431932	0.407444	24	1	13.8054	2	0.0953503	0
